Payment No,Payer Code,ORGANIZATION NAME,Beneficiary Name,Amount,Description
1000683619-16,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",CTLS UITH STRONGHOLD,19438114.33,MAY 2020  UNILORIN TEACHING HO -CTLS UITH STRONGHOLD
1000683619-4,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",NHF,11333937.66,MAY 2020  UNILORIN TEACHING HO -NHF
1000683619-3,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",NHIS,5551272.82,MAY 2020  UNILORIN TEACHING HO -NHIS
1000683619-67,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",KWARA TAX,6284874.98,MAY 2020  UNILORIN TEACHING HO -KWARA TAX
1000683618-27,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,CTSS UCTH ARD,6505000,MAY 2020  UNICALABAR TEACHING -CTSS UCTH ARD
1000683618-25,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,CTLS UCTH DOCTORS,11577055,MAY 2020  UNICALABAR TEACHING -CTLS UCTH DOCTORS
1000683618-21,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,APT Pension Fund Managers Limited,5117239.76,MAY 2020  UNICALABAR TEACHING -APT Pension Fund Managers Limited
1000683618-18,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,First Guarantee Pension Limited,6345896.18,MAY 2020  UNICALABAR TEACHING -First Guarantee Pension Limited
1000683618-16,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,NLPC Pension Fund Administrators Limited,16049422.2,MAY 2020  UNICALABAR TEACHING -NLPC Pension Fund Administrators Limited
1000683618-15,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,Premium Pension Limited,6145332.76,MAY 2020  UNICALABAR TEACHING -Premium Pension Limited
1000683618-5,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,NHF,13046348.98,MAY 2020  UNICALABAR TEACHING -NHF
1000683618-31,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,CTLS UCTH CALABAR,19584776,MAY 2020  UNICALABAR TEACHING -CTLS UCTH CALABAR
1000683618-32,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,CTSS UCTH CALABAR,11128300,MAY 2020  UNICALABAR TEACHING -CTSS UCTH CALABAR
1000683618-45,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,ARM Pension Managers,7361547.5,MAY 2020  UNICALABAR TEACHING -ARM Pension Managers
1000683618-47,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,Leadway Pensure PFA Limited,6350585.92,MAY 2020  UNICALABAR TEACHING -Leadway Pensure PFA Limited
1000683618-48,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,IEI-Anchor Pension Managers Ltd,5703388.5,MAY 2020  UNICALABAR TEACHING -IEI-Anchor Pension Managers Ltd
1000683618-70,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,IBTC Pension Managers,14165830.62,MAY 2020  UNICALABAR TEACHING -IBTC Pension Managers
1000683618-74,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,CROSS RIVER TAX,10569268.44,MAY 2020  UNICALABAR TEACHING -CROSS RIVER TAX
1000683618-75,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,CROSS RIVER TAX,62372204.48,MAY 2020  UNICALABAR TEACHING -CROSS RIVER TAX
1000683618-80,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,CTLS UCTH NSS,8027850,MAY 2020  UNICALABAR TEACHING -CTLS UCTH NSS
1000683618-81,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,CTSS UCTH NSS,7747000,MAY 2020  UNICALABAR TEACHING -CTSS UCTH NSS
1000683618-4,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,NHIS,6655056.34,MAY 2020  UNICALABAR TEACHING -NHIS
1000683618-89,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,CTSS UCTH MDCAN CORAL,5375000,MAY 2020  UNICALABAR TEACHING -CTSS UCTH MDCAN CORAL
1000683618-95,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,Credit Direct Ltd Deduction,9384428.77,MAY 2020  UNICALABAR TEACHING -Credit Direct Ltd Deduction
1000683618-97,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,ZEDVANCE LTD,12546779.88,MAY 2020  UNICALABAR TEACHING -ZEDVANCE LTD
1000683618-87,0521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,CTLSS UCTH MDCAN CORAL,8021296,MAY 2020  UNICALABAR TEACHING -CTLSS UCTH MDCAN CORAL
1000683621-20,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,UBTH COOP LOANS,28705854.44,MAY 2020  UNIVERSITY OF BENIN -UBTH COOP LOANS
1000683621-18,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,UBTH  BDL DEDUCTION,14141533.06,MAY 2020  UNIVERSITY OF BENIN -UBTH  BDL DEDUCTION
1000683621-14,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,First Guarantee Pension Limited,9943202.84,MAY 2020  UNIVERSITY OF BENIN -First Guarantee Pension Limited
1000683621-7,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,NHF,11342752.61,MAY 2020  UNIVERSITY OF BENIN -NHF
1000683621-6,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,NHIS,5639864.76,MAY 2020  UNIVERSITY OF BENIN -NHIS
1000683621-22,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,UBTH DEDUCTION SHORT TERM,12301786.18,MAY 2020  UNIVERSITY OF BENIN -UBTH DEDUCTION SHORT TERM
1000683621-88,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,UBTH COOP COMPULSORY SAVINGS,7093600,MAY 2020  UNIVERSITY OF BENIN -UBTH COOP COMPULSORY SAVINGS
1000683621-55,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,EDO TAX,47435471.02,MAY 2020  UNIVERSITY OF BENIN -EDO TAX
1000683621-59,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,IBTC Pension Managers,16990096.82,MAY 2020  UNIVERSITY OF BENIN -IBTC Pension Managers
1000683621-101,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,ZEDVANCE LTD,6147114.85,MAY 2020  UNIVERSITY OF BENIN -ZEDVANCE LTD
1000683621-98,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,UBTH SPECIAL SAVINGS,20366850,MAY 2020  UNIVERSITY OF BENIN -UBTH SPECIAL SAVINGS
1000683621-94,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,UBTH COOP SHARES YEAR END SAVINGS,5624000,MAY 2020  UNIVERSITY OF BENIN -UBTH COOP SHARES YEAR END SAVINGS
1000683621-90,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,UBTH COOP LAND,5046151.94,MAY 2020  UNIVERSITY OF BENIN -UBTH COOP LAND
1000683621-34,0521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,Pension Alliance Limited,23651830.52,MAY 2020  UNIVERSITY OF BENIN -Pension Alliance Limited
1000683623-42,0521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,UMTH SMPCS,6532000,MAY 2020  UNIVERSITY OF MAIDUG -UMTH SMPCS
1000683623-38,0521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,Trust Funds Pensions Plc,7617940.92,MAY 2020  UNIVERSITY OF MAIDUG -Trust Funds Pensions Plc
1000683623-37,0521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,IBTC Pension Managers,12060420.1,MAY 2020  UNIVERSITY OF MAIDUG -IBTC Pension Managers
1000683623-36,0521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,BORNO TAX,34122313.02,MAY 2020  UNIVERSITY OF MAIDUG -BORNO TAX
1000683623-33,0521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,ROSABON FS,6807490.3,MAY 2020  UNIVERSITY OF MAIDUG -ROSABON FS
1000683623-30,0521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,UMTH NURSES WELFARE,7234798,MAY 2020  UNIVERSITY OF MAIDUG -UMTH NURSES WELFARE
1000683623-22,0521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,Sigma Vaugn Sterling Pensions Limited,10383582.4,MAY 2020  UNIVERSITY OF MAIDUG -Sigma Vaugn Sterling Pensions Limited
1000683623-9,0521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,First Guarantee Pension Limited,7437200.9,MAY 2020  UNIVERSITY OF MAIDUG -First Guarantee Pension Limited
1000683623-3,0521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,NHF,9051732.98,MAY 2020  UNIVERSITY OF MAIDUG -NHF
1000683623-6,0521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,Premium Pension Limited,8054183,MAY 2020  UNIVERSITY OF MAIDUG -Premium Pension Limited
1000683622-107,0521026015,"UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",UATH NASU FIDELITY LOAN,5751374.92,MAY 2020  UNIVERSITY OF ABUJA -UATH NASU FIDELITY LOAN
1000683622-77,0521026015,"UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",UATH DOCTORS COOP SOC LOAN,15217861,MAY 2020  UNIVERSITY OF ABUJA -UATH DOCTORS COOP SOC LOAN
1000683622-75,0521026015,"UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",UATH DOCTORS COOP SAVINGS,12593403.34,MAY 2020  UNIVERSITY OF ABUJA -UATH DOCTORS COOP SAVINGS
1000683622-58,0521026015,"UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",IBTC Pension Managers,23875522.54,MAY 2020  UNIVERSITY OF ABUJA -IBTC Pension Managers
1000683622-28,0521026015,"UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",Leadway Pensure PFA Limited,6349850,MAY 2020  UNIVERSITY OF ABUJA -Leadway Pensure PFA Limited
1000683622-8,0521026015,"UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",NHF,7666161.34,MAY 2020  UNIVERSITY OF ABUJA -NHF
1000683622-3,0521026015,"UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",FCT ABUJA TAX,41632725.42,MAY 2020  UNIVERSITY OF ABUJA -FCT ABUJA TAX
1000683622-120,0521026015,"UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",Credit Direct Ltd Deduction,7715567.94,MAY 2020  UNIVERSITY OF ABUJA -Credit Direct Ltd Deduction
1000683629-6,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",NHIS,7912848.1,MAY 2020  UNIVERSITY OF NIGERI -NHIS
1000683629-11,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",Crusader Pensions Limited,6617460.44,MAY 2020  UNIVERSITY OF NIGERI -Crusader Pensions Limited
1000683629-10,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",NLPC Pension Fund Administrators Limited,9430525.04,MAY 2020  UNIVERSITY OF NIGERI -NLPC Pension Fund Administrators Limited
1000683629-93,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",Credit Direct Ltd Deduction,14400784.08,MAY 2020  UNIVERSITY OF NIGERI -Credit Direct Ltd Deduction
1000683629-67,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",Trust Funds Pensions Plc,10916288.54,MAY 2020  UNIVERSITY OF NIGERI -Trust Funds Pensions Plc
1000683629-66,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",IBTC Pension Managers,16926070.06,MAY 2020  UNIVERSITY OF NIGERI -IBTC Pension Managers
1000683629-63,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",STAFF WELFARE UNTH,33306431.3,MAY 2020  UNIVERSITY OF NIGERI -STAFF WELFARE UNTH
1000683629-20,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",UNTH SWS LOAN PERSONAL,21637544.86,MAY 2020  UNIVERSITY OF NIGERI -UNTH SWS LOAN PERSONAL
1000683629-15,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",APT Pension Fund Managers Limited,6433438.72,MAY 2020  UNIVERSITY OF NIGERI -APT Pension Fund Managers Limited
1000683629-98,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",UNTH SWS LOAN MORTGAGE,23108919.36,MAY 2020  UNIVERSITY OF NIGERI -UNTH SWS LOAN MORTGAGE
1000683629-96,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",ZEDVANCE LTD,10673961.35,MAY 2020  UNIVERSITY OF NIGERI -ZEDVANCE LTD
1000683629-94,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",ENUGU TAX,69158594.23,MAY 2020  UNIVERSITY OF NIGERI -ENUGU TAX
1000683629-13,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",AIICO Pension Managers Limited,5140867.12,MAY 2020  UNIVERSITY OF NIGERI -AIICO Pension Managers Limited
1000683629-12,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",First Guarantee Pension Limited,18804470.08,MAY 2020  UNIVERSITY OF NIGERI -First Guarantee Pension Limited
1000683629-7,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",NHF,15984239.81,MAY 2020  UNIVERSITY OF NIGERI -NHF
1000683626-76,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,SSAUTHRIAI LOAN,13587755,MAY 2020  UNIVERSITY OF PORTHA -SSAUTHRIAI LOAN
1000683626-75,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,SSAUTHRIAI COOP,9187000,MAY 2020  UNIVERSITY OF PORTHA -SSAUTHRIAI COOP
1000683626-68,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,ZEDVANCE LTD,26224378.53,MAY 2020  UNIVERSITY OF PORTHA -ZEDVANCE LTD
1000683626-49,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,IBTC Pension Managers,9630411.26,MAY 2020  UNIVERSITY OF PORTHA -IBTC Pension Managers
1000683626-65,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,Credit Direct Ltd Deduction,11300647.7,MAY 2020  UNIVERSITY OF PORTHA -Credit Direct Ltd Deduction
1000683626-41,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,RIVERS TAX,32659362.72,MAY 2020  UNIVERSITY OF PORTHA -RIVERS TAX
1000683626-25,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,ARM Pension Managers,6771670.02,MAY 2020  UNIVERSITY OF PORTHA -ARM Pension Managers
1000683626-22,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,Sigma Vaugn Sterling Pensions Limited,15564848.72,MAY 2020  UNIVERSITY OF PORTHA -Sigma Vaugn Sterling Pensions Limited
1000683626-16,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,ZAMFARA TAX,6057752.76,MAY 2020  UNIVERSITY OF PORTHA -ZAMFARA TAX
1000683626-9,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,First Guarantee Pension Limited,11746046.46,MAY 2020  UNIVERSITY OF PORTHA -First Guarantee Pension Limited
1000683626-6,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,Premium Pension Limited,5833076.98,MAY 2020  UNIVERSITY OF PORTHA -Premium Pension Limited
1000683626-4,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,NHF,12217970.6,MAY 2020  UNIVERSITY OF PORTHA -NHF
1000683626-3,0521026009,UNIVERSITY OF PORT-HARCOURT TEACHING HOSPITAL,NHIS,6230634.83,MAY 2020  UNIVERSITY OF PORTHA -NHIS
1000683630-61,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",ZEDVANCE LTD,8802787.94,MAY 2020  USMANU DANFODIYO UNI -ZEDVANCE LTD
1000683630-67,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",UDUTH IMAN ESS COMM,6846655.11,MAY 2020  USMANU DANFODIYO UNI -UDUTH IMAN ESS COMM
1000683630-68,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",UDUTH IMAN LOAN,18036119.33,MAY 2020  USMANU DANFODIYO UNI -UDUTH IMAN LOAN
1000683630-69,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",UDUTH IMAN SAVINGS,18593000,MAY 2020  USMANU DANFODIYO UNI -UDUTH IMAN SAVINGS
1000683630-45,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",IBTC Pension Managers,11180158.2,MAY 2020  USMANU DANFODIYO UNI -IBTC Pension Managers
1000683630-9,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",Premium Pension Limited,9502687.18,MAY 2020  USMANU DANFODIYO UNI -Premium Pension Limited
1000683630-28,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",ARM Pension Managers,8688724.92,MAY 2020  USMANU DANFODIYO UNI -ARM Pension Managers
1000683630-25,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",Sigma Vaugn Sterling Pensions Limited,5192748.22,MAY 2020  USMANU DANFODIYO UNI -Sigma Vaugn Sterling Pensions Limited
1000683630-3,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",NHF,8219022.31,MAY 2020  USMANU DANFODIYO UNI -NHF
1000683630-60,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",Credit Direct Ltd Deduction,13141212.13,MAY 2020  USMANU DANFODIYO UNI -Credit Direct Ltd Deduction
1000683630-40,0521026012,"USMANU DANFODIO UNIVERSITY TEACHING HOSPITAL, SOKOTO",SOKOTO TAX,27761928.19,MAY 2020  USMANU DANFODIYO UNI -SOKOTO TAX
1000683627-4,0521027002,UNIVERSITY OF UYO TEACHING HOSPITAL,NHF,8361119.56,MAY 2020  UNIVERSITY OF UYO TE -NHF
1000683627-6,0521027002,UNIVERSITY OF UYO TEACHING HOSPITAL,Premium Pension Limited,6405706.32,MAY 2020  UNIVERSITY OF UYO TE -Premium Pension Limited
1000683627-18,0521027002,UNIVERSITY OF UYO TEACHING HOSPITAL,CTLS UUTH NMPCS LOAN,8996671,MAY 2020  UNIVERSITY OF UYO TE -CTLS UUTH NMPCS LOAN
1000683627-24,0521027002,UNIVERSITY OF UYO TEACHING HOSPITAL,CTLS UUTH EMERALD MPCS LOAN,8602064.81,MAY 2020  UNIVERSITY OF UYO TE -CTLS UUTH EMERALD MPCS LOAN
1000683627-25,0521027002,UNIVERSITY OF UYO TEACHING HOSPITAL,CTLS UUTH EMERALD SPECIAL LOAN,5351033.35,MAY 2020  UNIVERSITY OF UYO TE -CTLS UUTH EMERALD SPECIAL LOAN
1000683627-39,0521027002,UNIVERSITY OF UYO TEACHING HOSPITAL,ARM Pension Managers,5542490.08,MAY 2020  UNIVERSITY OF UYO TE -ARM Pension Managers
1000683627-51,0521027002,UNIVERSITY OF UYO TEACHING HOSPITAL,IBTC Pension Managers,14714495.74,MAY 2020  UNIVERSITY OF UYO TE -IBTC Pension Managers
1000683627-52,0521027002,UNIVERSITY OF UYO TEACHING HOSPITAL,Trust Funds Pensions Plc,7824755.66,MAY 2020  UNIVERSITY OF UYO TE -Trust Funds Pensions Plc
1000683627-58,0521027002,UNIVERSITY OF UYO TEACHING HOSPITAL,AKWA IBOM TAX,41483934.69,MAY 2020  UNIVERSITY OF UYO TE -AKWA IBOM TAX
1000683635-7,0123031011,NATIONAL INSTITUTE FOR CULTURE ORIENTATION,Premium Pension Limited,10936485.48,MAY 2020  NATIONAL INSTITUTE F -Premium Pension Limited
1000683635-16,0123031011,NATIONAL INSTITUTE FOR CULTURE ORIENTATION,NICO STAFF CTSS MULTIPURPOSE COOP,7309000,MAY 2020  NATIONAL INSTITUTE F -NICO STAFF CTSS MULTIPURPOSE COOP
1000683635-17,0123031011,NATIONAL INSTITUTE FOR CULTURE ORIENTATION,NICO STAFF MULTIPURPOSE CTLS COOP,21846477,MAY 2020  NATIONAL INSTITUTE F -NICO STAFF MULTIPURPOSE CTLS COOP
1000683632-34,0215017001,NATIONAL INSTITUTE OF FRESHWATER FISH- NEW BUSSA,IBTC Pension Managers,5017613.86,MAY 2020  NATIONAL INSTITUTE F -IBTC Pension Managers
1000683632-17,0215017001,NATIONAL INSTITUTE OF FRESHWATER FISH- NEW BUSSA,CTSS NIFFRS COOP NEW,7858276,MAY 2020  NATIONAL INSTITUTE F -CTSS NIFFRS COOP NEW
1000683633-16,0517007001,NATIONAL INSTITUTE FOR EDUCATION PLANNING & ADMINISTRATION,CTSS NIEPA,5251250,MAY 2020  NATIONAL INSTITUTE F -CTSS NIEPA
1000683640-73,0123031010,NATIONAL INSTITUTE OF HOSPITALITY AND TOURISM DEVELOPMENT STUDIES,CTLS NIHOTOUR ABUJA,7771897.3,MAY 2020  NATIONAL INSTITUTE F -CTLS NIHOTOUR ABUJA
1000683640-9,0123031010,NATIONAL INSTITUTE OF HOSPITALITY AND TOURISM DEVELOPMENT STUDIES,First Guarantee Pension Limited,6852990.66,MAY 2020  NATIONAL INSTITUTE F -First Guarantee Pension Limited
1000683640-45,0123031010,NATIONAL INSTITUTE OF HOSPITALITY AND TOURISM DEVELOPMENT STUDIES,IBTC Pension Managers,5878669.74,MAY 2020  NATIONAL INSTITUTE F -IBTC Pension Managers
1000683642-9,0233008001,NATIONAL IRON ORE MINING PROJECT - ITAKPE,NIOCOM ALYUSRA COOP,11383373,MAY 2020  NATIONAL IRON ORE MI -NIOCOM ALYUSRA COOP
1000683642-18,0233008001,NATIONAL IRON ORE MINING PROJECT - ITAKPE,KOGI TAX,7706854.72,MAY 2020  NATIONAL IRON ORE MI -KOGI TAX
1000683642-10,0233008001,NATIONAL IRON ORE MINING PROJECT - ITAKPE,NIOCOM CHRISTIAN COOP,16515659,MAY 2020  NATIONAL IRON ORE MI -NIOCOM CHRISTIAN COOP
1000683642-5,0233008001,NATIONAL IRON ORE MINING PROJECT - ITAKPE,Premium Pension Limited,7143061.76,MAY 2020  NATIONAL IRON ORE MI -Premium Pension Limited
1000683641-42,0517008001,NATIONAL LIBRARY OF NIGERIA,IBTC Pension Managers,5432335.88,MAY 2020  NATIONAL LIBRARY OF -IBTC Pension Managers
1000683639-12,0521031001,"NATIONAL INST. OF PHARM. RESEARCH AND DEVELOPMENT, ABUJA",CTSS FMST NIPRD,9924865,MAY 2020  NATIONAL INSTITUTE F -CTSS FMST NIPRD
1000683608-1,0521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL, ENUGU",UNIVERSITY  OF NIGERIA TEACHING HOPITAL,10000000,MAY 2020 STAFF WELFARE ]/OUTSOURCE SERVICES
1000683645-1,0116021001,MILITARY PENSION BOARD,DIRECTORATE OF MILITARY PENSIONS,1932629529,BEING PAYMENT OF GRATUITY TO NOK BENEFICIARIES DUE GIFMIS ERROR
